Dinlenenler : rssis:-114.00, snr:-18.00, rssi:-97.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAH77Is/ALuoAKrjpQpGsEpinH8xcp1SUi6C0S5xJPXjqEU3n1v5W69wijNYNUPMyQ==
Dinlenenler : rssis:-117.00, snr:-21.50, rssi:-97.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF4dVOpAPl7AL7KeEUd+Z8ktpo2kVZ7o8rmHLvcBa9T6uu4CHCM+WMTcEl64jNnyw==
Dinlenenler : rssis:-117.00, snr:-21.50, rssi:-97.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAF4dVOpAPl7AL7KeEUd+Z8ktpo2kVZ7o8rmHLvcBa9T6uu4CHCM+WMTcEl64jNnyw==
Dinlenenler : rssis:-106.00, snr:-10.50, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAGXMTNaAM7IAA1I7/y957MMA2hQ5OuP2i0cu7hcI8SmJyWSJKTRgypfpoEsYuLqtw==
Dinlenenler : rssis:-106.00, snr:-10.50, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAGXMTNaAM7IAA1I7/y957MMA2hQ5OuP2i0cu7hcI8SmJyWSJKTRgypfpoEsYuLqtw==
Dinlenenler : rssis:-106.00, snr:-10.50, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAGXMTNaAM7IAA1I7/y957MMA2hQ5OuP2i0cu7hcI8SmJyWSJKTRgypfpoEsYuLqtw==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEkesVRAOIiAKYA2ugWt5JaGWSvNtPTJ8TofwhsL9CvMAK22x+PPXLKUTaZ3aEHXQ==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEkesVRAOIiAKYA2ugWt5JaGWSvNtPTJ8TofwhsL9CvMAK22x+PPXLKUTaZ3aEHXQ==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEkesVRAOIiAKYA2ugWt5JaGWSvNtPTJ8TofwhsL9CvMAK22x+PPXLKUTaZ3aEHXQ==
Dinlenenler : rssis:-105.00, snr:-12.80, rssi:-93.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAEkesVRAOIiAKYA2ugWt5JaGWSvNtPTJ8TofwhsL9CvMAK22x+PPXLKUTaZ3aEHXQ==
Dinlenenler : rssis:-111.00, snr:-16.00, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHeiMTKALVAAJoT7OTVJWu/qikMgDCThHEqO5DGcj1T8alzbqMDcZrZSOC+vPQB7A==
Dinlenenler : rssis:-111.00, snr:-16.00, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHeiMTKALVAAJoT7OTVJWu/qikMgDCThHEqO5DGcj1T8alzbqMDcZrZSOC+vPQB7A==
Dinlenenler : rssis:-111.00, snr:-16.00, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHeiMTKALVAAJoT7OTVJWu/qikMgDCThHEqO5DGcj1T8alzbqMDcZrZSOC+vPQB7A==
Dinlenenler : rssis:-111.00, snr:-16.00, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHeiMTKALVAAJoT7OTVJWu/qikMgDCThHEqO5DGcj1T8alzbqMDcZrZSOC+vPQB7A==
Dinlenenler : rssis:-111.00, snr:-16.00, rssi:-96.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHeiMTKALVAAJoT7OTVJWu/qikMgDCThHEqO5DGcj1T8alzbqMDcZrZSOC+vPQB7A==
Dinlenenler : rssis:-108.00, snr:-17.50, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFv3mn5AGXNALRUVN1T9g2vA2C6SGtK5TLqNxll7iytZgvbv3bcUH0ZplhWDoLxhA==
Dinlenenler : rssis:-108.00, snr:-17.50, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFv3mn5AGXNALRUVN1T9g2vA2C6SGtK5TLqNxll7iytZgvbv3bcUH0ZplhWDoLxhA==
Dinlenenler : rssis:-108.00, snr:-17.50, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFv3mn5AGXNALRUVN1T9g2vA2C6SGtK5TLqNxll7iytZgvbv3bcUH0ZplhWDoLxhA==
Dinlenenler : rssis:-108.00, snr:-17.50, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFv3mn5AGXNALRUVN1T9g2vA2C6SGtK5TLqNxll7iytZgvbv3bcUH0ZplhWDoLxhA==
Dinlenenler : rssis:-108.00, snr:-17.50, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFv3mn5AGXNALRUVN1T9g2vA2C6SGtK5TLqNxll7iytZgvbv3bcUH0ZplhWDoLxhA==
Dinlenenler : rssis:-108.00, snr:-17.50, rssi:-91.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAFv3mn5AGXNALRUVN1T9g2vA2C6SGtK5TLqNxll7iytZgvbv3bcUH0ZplhWDoLxhA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
Dinlenenler : rssis:-105.00, snr:-10.20, rssi:-95.00, dest_mac:AA:55:5A:00:00:00:00:00, server: 127.0.0.1, data: QDDaAAHcx28xAJ3HAO5wOx124UWDC1ns3dqX8LCjo5oPOKvVnIy//4wvYcMjbcCK9zuWOA==
